"contrast","state","gene","mean_response","rms_response","direction"
"T1D-control","acinar","THBS4",0.00728139421714894,0.00728139427875326,"up"
"T1D-control","acinar","PYY",0.00717139591203029,0.00722822612356169,"up"
"T1D-control","acinar","CSF2",-0.000896147675998753,0.00715777234414886,"down"
"T1D-control","acinar","KDR",0.00691312142946321,0.00691312144229073,"up"
"T1D-control","alpha","CYP2E1",-0.00144764188695662,0.00679236741656638,"down"
"T1D-control","acinar","PTGS2",0.00654378534285986,0.00654378542755764,"up"
"T1D-control","alpha","C1QC",-0.00121955020706239,0.00652514129280618,"down"
"T1D-control","duct_major","TOP2A",-0.00616565267503484,0.00616565325713166,"down"
"T1D-control","duct_major","UBE2C",-0.00601876440926829,0.00601876513381764,"down"
"T1D-control","duct_major","CLDN5",-0.00475508856087514,0.00568965596251402,"down"
"T1D-control","acinar","TPSB2",0.00457252904641203,0.00558746447445924,"up"
"T1D-control","duct_major","KDR",-0.00543630570457477,0.00543630586678387,"down"
"T1D-control","duct_major","MKI67",-0.00525997755328887,0.0052599780253681,"down"
"T1D-control","duct_major","THBS4",-0.00504098886755008,0.00504098891695975,"down"
"T1D-control","duct_major","COMP",-0.00501277140058554,0.00501277247883932,"down"
"T1D-control","acinar","IL24",0.00481047366877683,0.00481047481950034,"up"
"T1D-control","acinar","CLDN5",0.00460702247655403,0.00478127519710312,"up"
"T1D-control","alpha","TPSB2",-0.0041948243324373,0.00467435019442085,"down"
"T1D-control","duct_major","PAEP",-0.00462823200880563,0.00462823207946138,"down"
"T1D-control","acinar","CXCL14",0.00461403240938331,0.00461403263709751,"up"
"T1D-control","duct_major","IL24",-0.00444718121833957,0.00444718323776216,"down"
"T1D-control","alpha","FABP3",-0.00444420173844614,0.00444420175402421,"down"
"T1D-control","acinar","FABP3",0.00420412098729262,0.00420412099776505,"up"
"T1D-control","duct_major","THY1",-0.0040369559610386,0.00415343682831418,"down"
"T1D-control","acinar","PAEP",0.00411895406646131,0.00411895407274582,"up"
"T1D-control","duct_major","CSF3",-0.00405325140811293,0.00405325284986289,"down"
"T1D-control","alpha","CCL26",-0.00383003683072676,0.00383003688048879,"down"
"T1D-control","acinar","CCL26",0.00367456432091565,0.00367456443783539,"up"
"T1D-control","acinar","MKI67",0.00363829023267841,0.00363829035618124,"up"
